,train_loss,train_log_PxGz,train_log_Pz,val_loss,val_log_PxGz,val_log_Pz
0,212.26825654296874,208.75428107096354,2.8687306427001955,207.77392724375375,204.38830234905402,2.7453107064524396
1,209.84392869466146,206.55529607747397,2.656092594019572,207.77392724375375,204.38830234905402,2.7453107064524396
2,205.7467993408203,202.6294994954427,2.489001838938395,207.77392724375375,204.38830234905402,2.7453107064524396
3,200.9006375,197.7506439371745,2.5209184535980222,207.77392724375375,204.38830234905402,2.7453107064524396
4,196.33740528971353,193.1498007486979,2.557620992406209,207.77392724375375,204.38830234905402,2.7453107064524396
5,192.83506496582032,189.60405258789064,2.599892903137207,185.83095860100403,182.2110359752521,2.988027150638568
6,190.0397099202474,186.74589263509114,2.6610502731323242,185.83095860100403,182.2110359752521,2.988027150638568
7,187.11373132324218,183.76452712402343,2.7149353963216147,185.83095860100403,182.2110359752521,2.988027150638568
8,184.6920228515625,181.2825313639323,2.7735195727030435,185.83095860100403,182.2110359752521,2.988027150638568
9,182.2630582519531,178.79731402180988,2.8281539934794107,185.83095860100403,182.2110359752521,2.988027150638568
10,180.16780434570313,176.64263149414063,2.8857985444386802,174.74588427071373,171.03789644576491,3.066877021576269
11,177.9386033610026,174.35621145833332,2.941292667134603,174.74588427071373,171.03789644576491,3.066877021576269
12,176.13466910807293,172.49636905110677,2.9954750792185467,174.74588427071373,171.03789644576491,3.066877021576269
13,174.51249309895834,170.82572200520832,3.042372439066569,174.74588427071373,171.03789644576491,3.066877021576269
14,173.27285994466146,169.53679786783854,3.090060262552897,174.74588427071373,171.03789644576491,3.066877021576269
15,172.15807353515626,168.3776288330078,3.132942356745402,172.7533058922131,169.03432408536966,3.0724678717482203
16,170.86306088867187,167.0407841064453,3.1733838303883872,172.7533058922131,169.03432408536966,3.0724678717482203
17,170.14288829752604,166.27975451660157,3.21284889793396,172.7533058922131,169.03432408536966,3.0724678717482203
18,169.17439393717447,165.27066598307292,3.252004327138265,172.7533058922131,169.03432408536966,3.0724678717482203
19,168.61291420084635,164.67057555338542,3.2891956325531004,172.7533058922131,169.03432408536966,3.0724678717482203
20,167.7582214436849,163.78015686848957,3.32367347501119,172.97702323742948,169.1655813588883,3.1523146895935743
21,167.30221554361978,163.28759725748696,3.3588828465779623,172.97702323742948,169.1655813588883,3.1523146895935743
22,166.48958454589842,162.441673055013,3.39097333577474,172.97702323742948,169.1655813588883,3.1523146895935743
23,166.15020275878905,162.06913463541667,3.4228724847157794,172.97702323742948,169.1655813588883,3.1523146895935743
24,165.6573494954427,161.54443603515625,3.4535101102193195,172.97702323742948,169.1655813588883,3.1523146895935743
25,165.1740688720703,161.03100357259115,3.4824981377919513,173.5855141051661,169.73589434638953,3.1883344703589005
26,164.93788542480468,160.7633275797526,3.5127574492136637,173.5855141051661,169.73589434638953,3.1883344703589005
27,164.6123392903646,160.40951020507813,3.539975558598836,173.5855141051661,169.73589434638953,3.1883344703589005
28,164.07962041829427,159.84893216959637,3.566694342549642,173.5855141051661,169.73589434638953,3.1883344703589005
29,163.763617578125,159.50691967773437,3.5916617799123127,173.5855141051661,169.73589434638953,3.1883344703589005
30,163.2118696126302,158.92588033854167,3.619804607518514,175.58595407504242,171.63009375429002,3.2879157020641974
31,163.08134317220052,158.770847257487,3.643296470514933,175.58595407504242,171.63009375429002,3.2879157020641974
32,162.75337497558593,158.41857815755208,3.666614252217611,175.58595407504242,171.63009375429002,3.2879157020641974
33,162.3954135498047,158.0328155110677,3.6932407070159914,175.58595407504242,171.63009375429002,3.2879157020641974
34,162.11118458658854,157.7267895345052,3.714159219487508,175.58595407504242,171.63009375429002,3.2879157020641974
35,161.77577884928385,157.3653936686198,3.7390649973551433,176.00013123533597,171.94513836455423,3.377710899986779
36,161.369299617513,156.93701760660807,3.759987395731608,176.00013123533597,171.94513836455423,3.377710899986779
37,161.21698411458334,156.76095300292968,3.7827809285481773,176.00013123533597,171.94513836455423,3.377710899986779
38,160.92475764973958,156.44687685139974,3.8036759587605795,176.00013123533597,171.94513836455423,3.377710899986779
39,160.60698034667968,156.1075315673828,3.8242671520233156,176.00013123533597,171.94513836455423,3.377710899986779
40,160.43443520507813,155.91413934733072,3.8442564619700113,176.80868934899473,172.7916583953955,3.3442649803222557
41,160.06360178222656,155.52184317220053,3.864766428629557,176.80868934899473,172.7916583953955,3.3442649803222557
42,159.8434821126302,155.28183813476562,3.8837876513163248,176.80868934899473,172.7916583953955,3.3442649803222557
43,159.56833028564452,154.98539349772136,3.9041256220499676,176.80868934899473,172.7916583953955,3.3442649803222557
44,159.24965017089843,154.64839370117187,3.921635368347168,176.80868934899473,172.7916583953955,3.3442649803222557
45,159.00962354329428,154.38790850423177,3.9411658330281574,178.2510843002758,174.15370694973979,3.416911011686721
46,158.84918008626303,154.20981790364584,3.958041453552246,178.2510843002758,174.15370694973979,3.416911011686721
47,158.6337164835612,153.97555797526041,3.976004557800293,178.2510843002758,174.15370694973979,3.416911011686721
48,158.44533158365886,153.76971578776042,3.9926295495351156,178.2510843002758,174.15370694973979,3.416911011686721
49,158.29881700032553,153.6055360514323,4.0095255688985185,178.2510843002758,174.15370694973979,3.416911011686721
50,158.01543490397137,153.30370196940103,4.027080972544352,178.9718856567773,174.7554444139377,3.5267146128815963
51,157.73702219238282,153.00861920572916,4.042985638554891,178.9718856567773,174.7554444139377,3.5267146128815963
52,157.71443053385417,152.96923760172527,4.059034927113851,178.9718856567773,174.7554444139377,3.5267146128815963
53,157.37619392089843,152.61455505777994,4.074691515096029,178.9718856567773,174.7554444139377,3.5267146128815963
