,train_loss,train_beta_loss,train_rec,val1_loss,val1_beta_loss,val1_rec,val2_loss,val2_beta_loss,val2_rec
0,214.8251509666443,214.8251509666443,208.77956867218018,173.6114764213562,173.6114764213562,170.95794582366943,170.49578762054443,170.49578762054443,170.90728664398193
1,173.39883724848428,173.39883724848428,170.76688480377197,170.9300093650818,170.9300093650818,168.31127977371216,168.04002380371094,168.04002380371094,168.1934289932251
2,171.46710713704428,171.46710713704428,168.60170141855875,168.9044313430786,168.9044313430786,165.70982789993286,166.22506999969482,166.22506999969482,165.86167097091675
3,168.2987993558248,168.2987993558248,164.56883398691812,165.45459985733032,165.45459985733032,161.22934532165527,162.20244026184082,162.20244026184082,161.1540331840515
4,165.5686273574829,165.5686273574829,160.87198305130005,162.83141040802002,162.83141040802002,157.71042728424072,159.32640504837036,159.32640504837036,157.69150829315186
5,162.11270141601562,162.11270141601562,156.24370749791464,159.1974606513977,159.1974606513977,152.71556568145752,155.65505075454712,155.65505075454712,152.76986122131348
6,158.63054847717285,158.63054847717285,151.7287139892578,155.31253862380981,155.31253862380981,147.84028577804565,151.99450969696045,151.99450969696045,147.79152536392212
7,154.565895875295,154.565895875295,146.71094099680582,151.67203569412231,151.67203569412231,143.41117191314697,148.66614198684692,148.66614198684692,143.36479425430298
8,151.67086601257324,151.67086601257324,143.07090934117636,149.52307558059692,149.52307558059692,140.5378212928772,146.46439170837402,146.46439170837402,140.22028398513794
9,149.58962440490723,149.58962440490723,140.3898162841797,147.49228858947754,147.49228858947754,138.09757280349731,144.80606126785278,144.80606126785278,138.09564065933228
10,147.79179286956787,147.79179286956787,137.93084081013998,145.64966297149658,145.64966297149658,135.34220790863037,142.91050958633423,142.91050958633423,135.24685525894165
11,146.22687276204428,146.22687276204428,135.75742626190186,144.49481582641602,144.49481582641602,133.77935552597046,141.8597755432129,141.8597755432129,133.82557439804077
12,145.15483554204306,145.15483554204306,134.32994604110718,143.52800130844116,143.52800130844116,132.81201601028442,140.9850525856018,140.9850525856018,133.0691728591919
13,143.97087303797403,143.97087303797403,132.84988888104758,142.93537521362305,142.93537521362305,131.8717167377472,140.34114933013916,140.34114933013916,132.0172519683838
14,143.2835227648417,143.2835227648417,131.9604855378469,142.36829710006714,142.36829710006714,130.74240803718567,139.6099991798401,139.6099991798401,130.64939856529236
15,142.62807083129883,142.62807083129883,131.03265770276388,141.67131567001343,141.67131567001343,130.0279462337494,138.85980939865112,138.85980939865112,129.9295825958252
16,141.9993190765381,141.9993190765381,130.15122437477112,140.99738931655884,140.99738931655884,129.21592092514038,138.13158798217773,138.13158798217773,129.16564178466797
17,141.48011589050293,141.48011589050293,129.33012342453003,140.70586013793945,140.70586013793945,128.39136672019958,137.77199029922485,137.77199029922485,128.31128573417664
